API_CID,API_Smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
196,C(CCC(=O)O)CC(=O)O,146.142,0.716,74.6,2.0,2.0,5.0,0.0,0.0,0.6666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
243,C1=CC=C(C=C1)C(=O)O,122.123,1.3848,37.3,1.0,1.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
244,C1=CC=C(C=C1)CO,108.14,1.1789,20.23,1.0,1.0,1.0,1.0,1.0,0.14285715,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,C[N+](C)(C)CCO,104.173,-0.3151,20.23,1.0,1.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753,C(C(CO)O)O,92.094,-1.6681,60.69,3.0,3.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1103,C(CCNCCCN)CNCCCN,202.346,-0.3566,76.1,4.0,4.0,11.0,0.0,0.0,1.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1727,C1=CN=CC=C1N,94.117,0.6638,38.91,1.0,2.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,252.273,1.7696,58.2,2.0,2.0,2.0,2.0,3.0,0.06666667,19.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,CC(=O)NC1=CC=C(C=C1)O,151.165,1.3506,49.33,2.0,2.0,1.0,1.0,1.0,0.125,11.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.338,3.2433,67.01,2.0,4.0,4.0,2.0,2.0,0.33333334,18.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.315,1.306,72.72,4.0,4.0,4.0,1.0,1.0,0.53846157,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2130,C1C2CC3CC1CC(C2)(C3)N,151.253,1.9139,26.02,1.0,1.0,0.0,0.0,4.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2132,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,378.108,3.1869,58.28,3.0,3.0,3.0,1.0,2.0,0.53846157,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
