Excipient_CID,Excipient_Smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
174,C(CO)O,62.068,-1.029,40.46,2.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,CC(=O)C,58.08,0.5953,17.07,0.0,1.0,0.0,0.0,0.0,0.6666667,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
222,N,17.031,0.162,35.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,C1=CC=C(C=C1)CO,108.14,1.1789,20.23,1.0,1.0,1.0,1.0,1.0,0.14285715,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,CCCC=O,72.107,0.9854,17.07,0.0,1.0,2.0,0.0,0.0,0.75,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
263,CCCCO,74.123,0.7788,20.23,1.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,C(=O)O,46.025,-0.2992,37.3,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,342.297,-5.3972,189.53,8.0,11.0,4.0,0.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.123,-1.2485,132.13,4.0,4.0,5.0,0.0,0.0,0.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
342,CC1=CC(=CC=C1)O,108.14,1.70062,20.23,1.0,1.0,0.0,1.0,1.0,0.14285715,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
379,CCCCCCCC(=O)O,144.214,2.4315,37.3,1.0,1.0,6.0,0.0,0.0,0.875,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
525,C(C(C(=O)O)O)C(=O)O,134.087,-1.0934,94.83,3.0,3.0,3.0,0.0,0.0,0.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
679,CS(=O)C,78.136,-0.0053,17.07,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,CCO,46.069,-0.0014,20.23,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,C=O,30.026,-0.1849,17.07,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751,C(C(C=O)O)O,90.078,-1.4615,57.53,2.0,3.0,2.0,0.0,0.0,0.6666667,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
753,C(C(CO)O)O,92.094,-1.6681,60.69,3.0,3.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,C(C(=O)O)O,76.051,-0.9367,57.53,2.0,2.0,1.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
784,OO,34.014,0.0174,40.46,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807,II,253.808,1.7714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
872,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,342.297,-5.3972,189.53,8.0,11.0,4.0,0.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
875,C(C(C(=O)O)O)(C(=O)O)O,150.086,-2.1226,115.06,4.0,4.0,3.0,0.0,0.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
887,CO,32.042,-0.3915,20.23,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
943,[N+](=O)([O-])[O-],62.004,-0.2391,66.2,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
977,O=O,31.998,0.067,34.14,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985,CCCCCCCCCCCCCCCC(=O)O,256.43,5.5523,37.3,1.0,1.0,14.0,0.0,0.0,0.9375,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
996,C1=CC=C(C=C1)O,94.113,1.3922,20.23,1.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
