API_CID,API_Smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
54678486,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,308.333,3.6096000000000035,67.51,1,4,4,3,3,0.15789473684210525,23,0,0,0,0,0,1,0,0,0,0,0
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,252.273,1.7696,58.2,2,2,2,2,3,0.06666666666666667,19,0,2,0,3,0,0,0,0,0,0,0
5560,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,380.6619999999999,0.8209999999999997,118.35999999999999,3,5,2,1,2,0.25,20,1,2,0,0,0,0,0,0,0,3,0
54675776,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,444.4400000000001,-0.37099999999999905,181.62000000000003,6,9,2,1,4,0.4090909090909091,32,1,0,0,1,0,2,1,0,0,0,0
5324346,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,318.339,3.201500000000001,56.84,1,4,9,1,1,0.5333333333333333,22,1,0,0,0,0,0,0,1,0,3,0
1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,222.251,-0.8561000000000003,115.04,2,6,2,1,1,0.25,13,1,1,0,1,0,0,0,0,0,0,0
657302,C1=CC=C(C=C1)C2(C(=O)[N-]C(=O)N2)C3=CC=CC=C3.[Na+],274.255,-0.4422999999999999,60.27,1,2,2,2,3,0.06666666666666667,20,0,1,0,3,0,0,0,0,0,0,0
5754,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,362.46600000000007,1.7815999999999996,94.83000000000001,3,5,2,0,4,0.8095238095238095,26,0,0,0,0,0,2,0,0,0,0,0
5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.9880000000000009,131.36,5,7,1,3,3,0.0,22,0,0,0,0,0,0,4,0,0,0,0
14219,CN(C)C(=N)NC(=N)N.Cl,165.62800000000001,-0.6123600000000003,88.99000000000001,4,2,0,0,0,0.5,10,1,3,0,0,0,0,0,0,0,1,0
3878,c1cc(c(c(c1)Cl)Cl)-c2c(N)nc(N)nn2,256.09599999999995,2.0098,90.71,2,5,1,2,2,0.0,16,2,0,0,0,0,0,0,0,0,2,0
3446,C1CCC(CC1)(CC(=O)O)CN,171.23999999999998,1.3703,63.31999999999999,2,2,3,0,1,0.8888888888888888,12,1,0,0,0,0,0,0,0,0,0,1
4594,Cc1cnc(C[S+](c2[nH]c3ccc(cc3n2)OC)[O-])c(C)c1OC,345.42400000000015,2.8997400000000013,83.09,1,5,5,3,3,0.29411764705882354,24,0,1,0,0,0,0,0,2,0,0,0
2554,c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N,236.27399999999997,3.3872000000000018,46.33,1,1,0,2,3,0.0,18,1,0,0,2,0,0,0,0,0,0,0
3639,c1c(c(cc2c1NCNS2(=O)=O)S(=O)(=O)N)Cl,297.745,-0.3512999999999999,118.36,3,5,1,1,2,0.14285714285714285,17,1,2,0,0,0,0,0,0,0,1,0
2662,Cc1ccc(cc1)-c2cc(C(F)(F)F)nn2-c3ccc(cc3)S(=O)(=O)N,381.3790000000001,3.5139200000000015,77.98,1,3,3,3,3,0.11764705882352941,26,1,0,0,0,0,0,0,0,0,3,0
5284627,CC1(C)O[C@]2([H])CO[C@]3(COS(=O)(=O)N)[C@]([H])([C@]2([H])O1)OC(C)(C)O3,339.36600000000016,-0.3953999999999982,115.54000000000002,1,8,3,0,3,1.0,22,1,0,0,0,0,0,0,5,0,0,0
5284583,CC[C@@H](C(=O)N)N1CCCC1=O,170.212,-0.12729999999999997,63.400000000000006,1,2,3,0,1,0.75,12,1,0,0,2,0,0,0,0,0,0,0
3339,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(cc2)Cl,360.837,4.680000000000004,52.6,0,4,6,2,2,0.3,25,0,0,1,0,0,1,0,2,0,1,0
5073,Cc1c(CCN2CCC(CC2)c3c4ccc(cc4on3)F)c(=O)n5CCCCc5n1,410.4930000000002,3.5904200000000026,64.16,0,5,4,3,5,0.5217391304347826,30,0,0,0,0,0,0,0,0,0,1,0
135398745,Cc1cc2C(=Nc3ccccc3Nc2s1)N4CCN(C)CC4,312.4420000000001,3.4392200000000024,30.870000000000005,1,5,0,2,4,0.35294117647058826,22,0,1,0,0,0,0,0,0,0,0,0
