Excipient_CID,Excipient_Smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
3084116,[O-][Si]([O-])([O-])[O-].[Mg+2].[Al+3],143.369,-5.8984,92.24,0,4,0,0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0
14792,O=[Mg],40.304,-0.49960000000000004,17.07,0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0
21226083,[O-]P(=O)([O-])[O-].[Ca+2],135.048,-3.2054,86.25,0,4,0,0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0
6134,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,342.297,-5.397199999999994,189.52999999999997,8,11,4,0,2,1.0,23,0,0,0,0,0,0,0,3,0,0,0
6251,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,182.172,-3.585399999999998,121.38000000000001,6,6,5,0,0,1.0,12,0,0,0,0,0,0,0,0,0,0,0
24497,[O-]S(=O)(=O)[O-].[Ca+2],136.141,-1.7187999999999997,80.25999999999999,0,4,0,0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0
11177,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2],591.2570000000005,9.614799999999999,80.25999999999999,0,4,32,0,0,0.9444444444444444,41,0,0,0,0,0,0,0,0,0,0,2
444041,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O,1134.9870000000012,-15.230600000000031,554.0500000000002,21,35,7,0,21,1.0,77,0,0,0,0,0,0,0,14,0,0,0
11029,C(=O)([O-])[O-].[Mg+2],84.313,-2.8278,63.19,0,3,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
3423265,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],288.385,0.38810000000000056,66.43,0,4,12,0,0,1.0,18,0,0,0,0,0,0,0,0,0,0,0
24261,O=[Si]=O,60.084,-0.6184000000000001,34.14,0,2,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0
1030,CC(CO)O,76.095,-0.6405,40.46,2,2,1,0,0,1.0,5,0,0,0,0,0,0,0,0,0,0,0
5281,CCCCCCCCCCCCCCCCCC(=O)O,284.4839999999999,6.332500000000007,37.3,1,1,16,0,0,0.9444444444444444,20,0,0,0,0,0,0,0,0,0,0,1
26042,O=[Ti]=O,79.865,-0.2401,34.14,0,2,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0
5541,CC(=O)OCC(COC(=O)C)OC(=O)C,218.20499999999998,0.044299999999999784,78.9,0,6,5,0,0,0.6666666666666666,15,0,0,3,0,0,0,0,3,0,0,0
165411828,[OH-].[OH-].[O-][Si]12O[Si]3(O[Si](O1)(O[Si](O2)(O3)[O-])[O-])[O-].[Mg+2].[Mg+2].[Mg+2],379.2630000000001,-8.185599999999999,207.62,0,12,0,0,4,0.0,19,0,0,0,0,0,0,0,0,0,0,0
5988,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@]2(CO)[C@H]([C@@H]([C@@H](CO)O2)O)O)O)O)O)O,342.29699999999997,-5.395599999999994,189.52999999999997,8,11,5,0,2,1.0,23,0,0,0,0,0,0,0,3,0,0,0
104938,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@]([H])(O1)O[C@@H]2[C@@H](CO)O[C@@H]([C@@H]([C@H]2O)O)O)O)O)O)O.O,360.31200000000007,-6.221899999999992,221.02999999999997,8,11,4,0,2,1.0,24,0,0,0,0,0,0,0,3,0,0,0
